Code,Devanagari,Comments,Official Name,IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique  to ITRANS  ,,,
N,मत्स्येंद्रनाथ,"Said to be the original teacher of the system of Haṭha Yoga. His name means, “Lord of the Fishes”",Matsyendranātha,Matsyendranatha,,,MatsyendranAtha,Matsyendranāth,Matsyendranath,,,,,Matsyendranaath,,,
N,,"[person at a ""Vancouver"" darshan]",Mayana,,,,,,,,,,,,,,
N,,,McHenry,,,,,,,,,,,,,,
N,,,Meher Baba,,,,,meher,,,,,,,,,
N,,[Ananta Michael Tierra and possibly others],Michael,,,,,,,,,,,,,,
N,,[not the mouse],Mickey,,,,,,,,,,,,,,
N,,,Mikhail Sergeyevich Gorbachev,,,,,gorbachev,,,,,,,,,
N,,"Tibetan yogi, poet, siddha",Milarepa,milarapa,,,,milarepa,,,,,,,,,
N,,,Minakshi McDonald,,,,,mcdonald,,,,,,,,,
N,,,Mira,,,,,,,,,,,,,,
N,,,Mirabai,,,,,,,,,,,,,,
N,,,Miśra,Misra,Miśhra,Mishra,mizra,,,,,,,mishra,,,
N,,,Mitchell,,,,,,,,,,,,,,
N,,,Mohammed,,,,,,,,,,,,,,
N,,PT,Mohan Siegel,,,,,,,,,,,,,,
N,महात्मा गांधी,"Indian lawyer, anti-colonial nationalist and political ethicist",Mohanadāsa Karamacaṃda Gāṃdhī (Mahātmā),Mohanadasa Karamacamda Gamdhi (Mahatma),Mohanadāsa Karamachaṃda Gāṃdhī (Mahātmā),Mohanadasa Karamachamda Gamdhi (Mahatma),mohanadAsa karamacaMda gAMdhI (mahAtmA),,,,,,,mohanadaasa karamacaMda gaaMdhii (mahaatmaa),mohanadaasa karamaca.mda gaa.mdhii (mahaatmaa),,
N,महात्मा गांधी,"Indian lawyer, anti-colonial nationalist and political ethicist",Mohanadāsa Karamacaṃda Gāṃdhī (Mahātmā),,,,,Ghandi,Mohanadāsa Karamacaṁda Gāṁdhī (Mahātmā),Mahātmā Gāṃdhī,Mahatma Gandhi,,,mohanadaasa karamaca.nda gaa.ndhii (mahaatmaa),mohanadAsa karamaca.mda gAMdhI (mahAtmA),mohanadAsa karamaca.nda gAMdhI (mahAtmA),
N,,a San Franscisco mayor who was shot inside City Hall in 1978,Moscone,,,,,,,,,,,,,,
N,,,Moses,,,,,,,,,,,,,,
N,,,Mother Teresa,,,,,teresa,Mother Theresa,,,,,,,,
N,मुक्ताबाई,"Jñāndev, Sopānadev, Nivṛttīdev, three brothers and Muktābāī, the sister. All four were siddhas",Muktābāī Vitthalpant Kulkarni,Muktabai Vitthalpant Kulkarni,,,MuktAbai Vitthalpant Kulkarni,Muktābāī,Muktabai,Muktabia,,,,Muktaabai Vitthalpant Kulkarni,,,
N,मुक्तानन्द,guru and founder of Siddha Yoga,Muktananda,,,,,,,,,,,,,,
N,,"means one who rests on nira (water, नीर)",Narayan,,,,,,,,,,,,,,
N,,,Nayana,,,,,,,,,,,,,,
N,"नीम करौली बाबा,","a.k.a. Lakshman Narayan Sharma, Baba Lakshman Das, Laxman Das; the IAST transliteration from Hindi is Nīm Karaulī Bābā",Neem Karoli Baba,,,,,Neem Karoli Baba,,,,,,,,,
N,,,Nehru,,,,,,,,,,,,,,
N,,,Nelson Mandela,,,,,mandela,,,,,,,,,
N,,,Neumann,,,,,,,,,,,,,,
N,,(need permission) See parents Kishor and Anupama,Niraj Forson,,,,,,,,,,,,,,
N,निसर्गजदत्त,"Nisargadatta Maharaj, an indian guru of nondualism",Nisargadatta,,,,,,,,,,,,,,
N,निवृत्तीदेव्,"Jñāndev, Sopānadev, Nivṛttīdev, three brothers and Muktābāī, the sister. All four were siddhas.",Nivṛttīdev,Nivrittidev,,,nivRttIdev,Nivruttinath,,,,,,nivRRittIdev,nivR^ittIdev,nivR^ittiidev,nivRRittiidev
N,निवृत्तीदेव्,"Jñāndev, Sopānadev, Nivṛttīdev, three brothers and Muktābāī, the sister. All four were siddhas.",Nivṛttīdev,,,,,,,,,,,niwRRittIdev,niwR^ittIdev,niwR^ittiidev,niwRRittiidev
N,,,Noah,,,,,,,,,,,,,,
N,,,Norman,,,,,,,,,,,,,,
N,,,Nuntun Baba,,,,,nuntun,,,,,,,,,
N,,,Olaf Stapleton,Stapleton,,,,olaf,,,,,,,,,
N,,"brother of Sharada Filko; also, means 5 headed, one of Shiva's names",Panchanan,,,,,,,,,,,,,,
N,परमहंस योगानन्द,"(1893-1952) was an Indian Hindu monk, Yogi and Guru who introduced millions to the teachings of meditation and Kriya Yoga.",Paramahaṃsa Yogānanda ,Paramahansa Yogananda ,,,,pararnehanse,paramhansa,paramhamsa,paramahansa,paramahamsa,,,,,
N,पराशर,"a maharishi and the author of many ancient Indian texts. He is accredited as the author of the first Purana, the Vishnu Purana, before his son Vyasa wrote it in its present form",Parāśara,Parasara,Parāśhara,Parashara,parAzara,,,,,,,parAshara,paraashara,,
N,पतञ्जलि,A great authority and propounder on the aṣṭāṅga yoga system and author of the Yoga-sūtras,Patañjali,Patanjali,,,pataJjali,fatanjali,patajali,,,,,pata~njali,,,
N,,,Paul,,,,,,,,,,,,,,
N,,French Jesuit philosopher and paleontologist,Pierre Teilhard de Chardin,,,,,teilhard,,,,,,,,,
N,,famous violinist,Pinkus Zuckerman,,,,,zuckerman,,,,,,,,,
N,,,Plato,,,,,,,,,,,,,,
N,,a Greek philosopher,Plotinus,,,,,,,,,,,,,,
N,,,Prabha,,,,,,,,,,,,,,
N,,,Prabha Pacey,,,,,Prabha Pacey,,,,,,,,,
N,,,Prakash Diffenbaugh (PK),,,,,PK Diffenbaugh,,,,,,,,,
N,,,Pramada Sandra Maura,,,,,maura,,,,,,,,,
N,,,Prem Dass James Rohan (PD),,,,,prem,PD,,,,,,,,
N,,,Prema Barbara Harris,,,,,prema,,,,,,,,,
N,,,Radha,,,,,,,,,,,,,,
N,,,Radha Mallery,,,,,,,,,,,,,,
N,,the king of the Himalayas; his whole life was Tantra,Raja Pripi Singh,,,,,raja,,,,,,,,,
N,राजगोपालाचारी,"an Indian statesman, writer, lawyer, and independence activist",Rājagopālāchāri,,,,,rajagopalacharya,,,,,,,,,
N,,,Rajendra Ronald Bingham,,,,,rajendra,,,,,,,,,
N,,,Rajesh ,,,,,,,,,,,,,,
N,रजनीश,founder of the Rajneesh movement,Rajneesh Chandra Mohan Jain,,,,,rajneesh,,,,,,,,,
N,,,Ralph Ginzberg,,,,,ginzberg,,,,,,,,,
N,,,Ram Sharan Robert Aguirre,,,,,Ram Sharan,,,,,,,,,
N,राम तीर्थ,Swami Rāma Tirtha,Rāma Tīrtha,Rama Tirtha,,,rAma tIrtha,ramatirtha,,,,,,raama tiirtha,,,
N,रामकृष्ण परमहंस,,Rāmakṛṣṇa Paramahaṃsa,Ramakrsna Paramahamsa,Rāmakṛiṣhṇa Paramahaṃsa,Ramakrishna Paramahamsa,rAmakRSNa ParamahaMsa,,,,,,,rAmakRSNa paramaha.msa,rAmakRSNa paramaha.nsa,,
N,रामकृष्ण परमहंस,,Rāmakṛṣṇa Paramahaṃsa,,,,,paramanansa,ramakriishna,ramakrishnn,,,,raamakRSNa paramahaMsa,raamakRSNa paramaha.msa,raamakRSNa paramaha.nsa,
N,राममूर्ति,a hatha yogi in India,Rāmamūrti,Ramamurti,,,rAmamUrti,,,,,,,raamamuurti,,,
N,रमण महर्षि,"Indian sage, liberated, had no guru; whose main teaching is Self-inquiry, ""Who am I?""",Ramaṇa Maharṣi,Ramana Maharsi,Ramaṇa Maharśhi,Ramana Maharshi,ramaNa maharzi,maharshi,ramana,,,,,ramaNa maharshi,,,
N,रामानन्द्,"born 1300, great Vaishnavite reformer, established Varanasi as a great religious center",Rāmānand,Ramanand,,,rAmAnand,,,,,,,raamaanand,,,
N,रामदास काठियाबाबा,Hindu spiritual leader,Rāmdās Kāṭhiābābā,Kathia Babaji Maharaj,Kathia Baba,,,katiya,,,,,,,,,
N,,,Ramesh,,,,,Jono,,,,,,,,,
N,,,Ranjan,,,,,,,,,,,,,,
N,,,Rashmi Patricia Cole,,,,,,,,,,,,,,
N,,,Rasmani,,Rasamani,,,,,,,,,,,,
N,,,Grigori Rasputin,,,,,,,,,,,,,,
N,,,Ratna Sturz,,,,,,,,,,,,,,
N,,,Reagan,,,,,,,,,,,,,,
